RatingID,ParentRatingID,LBRatingID,AnnualTurnover,AnnualTurnoverDirect,AnnualTurnoverParent,AnnualTurnoverLBR,TotalAssets,TotalAssetsDirect,TotalAssetsParent,TotalAssetsLBR
2848090,2848090,null,7273000,7273000,7273000,null,20507000,20507000,20507000,null
2884752,2884752,null,2345000,2345000,2345000,null,16640000,16640000,16640000,null
2884771,2884771,null,96594000,96594000,96594000,null,55741000,55741000,55741000,null
2878657,2878657,null,58033000,58033000,58033000,null,28295000,28295000,28295000,null
2932067,2932067,null,933000,933000,933000,null,861000,861000,861000,null
2894549,2894549,null,891381650.380022,891381650.380022,891381650.380022,null,865910242.490047,865910242.490047,865910242.490047,null
2851914,2851914,null,621000,621000,621000,null,2807000,2807000,2807000,null
2869606,2869606,null,2811000,2811000,2811000,null,1932000,1932000,1932000,null
2949062,2949062,null,377597464.951027,377597464.951027,377597464.951027,null,1039082004.99328,1039082004.99328,1039082004.99328,null
2939259,2939259,null,52790000,52790000,52790000,null,28351000,28351000,28351000,null
2860097,2860097,null,8377000,8377000,8377000,null,1632000,1632000,1632000,null
2895944,2895944,null,8973000,8973000,8973000,null,8175000,8175000,8175000,null
2891307,2891307,null,2196000,2196000,2196000,null,2629000,2629000,2629000,null
2940244,2940244,null,14932000,14932000,14932000,null,12210000,12210000,12210000,null
2875350,2875350,null,20696000,20696000,20696000,null,9994000,9994000,9994000,null
2865968,2865968,null,9643000,9643000,9643000,null,5974000,5974000,5974000,null
2892025,2892025,null,22428000,22428000,22428000,null,21342000,21342000,21342000,null
2735116,2735116,null,59732046.65761,59732046.65761,59732046.65761,null,284601114.91076,284601114.91076,284601114.91076,null
2872998,2872998,null,89300000,89300000,89300000,null,61794000,61794000,61794000,null
2940301,2940301,null,176755000,176755000,176755000,null,34168000,34168000,34168000,null
2942667,2942667,null,1462000,1462000,1462000,null,3235000,3235000,3235000,null
2875372,2875372,null,4804000,4804000,4804000,null,15729000,15729000,15729000,null
2952744,2952744,null,18777000,18777000,18777000,null,10337000,10337000,10337000,null
2876930,2876930,null,3543000,3543000,3543000,null,7454000,7454000,7454000,null
2929917,2929917,null,4076000,4076000,4076000,null,1684000,1684000,1684000,null
